,name,phone,address,city,zip,syntec,old_id
0,IPSOS,0521368479,35 rue du val de Marne,Paris,75013,32,7
1,SORGEM,01 40 67 20 04,5 rue Leroux,Paris,75016,32,10
2,UNILEVER FRANCE ,0141965163,23 Rue François Jacob ,Rueil,92500,32,9
3,IPSOS SUISSE SA,0041225910685,IPSOS SUISSE SA,Avenue,12,32,11
4,ECARS,0143386054,16rue Laval,Paris,75011,32,12
5,CATHERINE FINET CONSEIL,0146052738,66 Rue Escudier,Boulogne,92100,32,13
6,IPSOS ASI,0141989548,35 Rue Du Val De Marne,Paris,75013,32,14
7,MILLWARD BROWN,0155560909,16 Quai De La Loire,Paris,75019,3,15
8,GATARD SAS,0144099595,3 Rue Aumont Thiéville,Paris,75017,32,16
9,DIAGNOSTIC COMMUNICATION,0147635252,15 Villa Aublet,Paris,75017,32,17
10,KALIWATCH,01 43 48 28 54,8 BD DE MNILMONTANT,PARIS,75020,32,18
11,LABORATOIRES CLARINS,01.34.35.15.15,nan,,,32,19
12,DECRYPTIS,0389453505,6 Rue Du Sauvage,Mulhouse,68100,32,20
13,UNILEVER UK,00442078225024,100 Victoria Embankment,,,32,21
14,EA ETHNOLOGIE APPLIQUéE ,0148070002,14 Rue Charles V,Paris,75004,32,22
15,WHATIF,00442075357320,3-4 ASHLAND PLACE,4,LONDONW1U,32,23
16,MAITRE MOTS,0240717154,20 Rue De La Fontaine Salée,Nantes,44100,32,24
17,OPINION WAY,0178949000,15 Place De La République,Paris,75003,32,25
18,EXEMPLE NOM CLIENT ESSAI SVET,,Adresse Exemple.,De,Merci,32,26
19,TNS SOFRES RI,01 40 92 57 52,13 AVENUE DE LA PORTE D'ITALIE 75013 PARIS,,,32,127
20,MAYNERIS ,019501705012,18 Rue De Phalsbourg,Paris,75017,32,28
21,IPSOS LYON,0472774170,QUAI FULCHIRON,Lyon,69002,62,29
22,COTE CLIENTS,+33 472 365 800,19 Bis Rue David,LYON,69003,32,30
23,INSEMMA,0145031533,6 Rue Paul Saunière,PARIS,75016,32,32
24,EUROFINS SCIENTIFIC TESTS CENTER,01 53 34 17 47,5 Rue Cadet,PARIS,75009,32,33
25,MATIERE GRISE,,6 Rue Yves Toudic,Paris,75010,32,34
26,COMITE NATIONAL CONTRE LE TABAGISME,01 55 78 85 10,119 RUE DES PYRNEES,PARIS,75020,32,35
27,UNILEVER ITALY HOLDING SRL,00390654492783,Cornetto Brand Development,Paolo,Via,32,36
28,INIT SATISFACTION,01 45 15 11 11 ,"24,  Bd Paul Vaillant Couturier",200,94,32,37
29,L'OREAL : CEVATEC / CHEVILLY,01 49 79 56 90,137 Bis Rue Paul Hochard,CHEVILLY,94550,32,38
30,PLAN CREATIF,0143706060,"10, Rue Mercoeur",Paris,75011,32,39
31,EXTENSIA,01 77 15 82 40,15 Rue Taitbout,Paris,75009,32,40
32,SYNOVATE,01 40 45 46 51,1 Rue De Metz,Paris,75010,32,41
33,EXPLOCENTRE ORANGE LABS,06 85 24 58 35,29 Rue Des Sablons,Paris,75016,32,42
34,L'OREAL : CENTRE D'EVALUATION,0149180226,13 Rue Dora Maar ,ST,93400,32,43
35,PATRICK MATHIEU CONSEIL,01 40 39 05 06,"209 Rue De Luniversité, 75007 Paris",,,32,44
36,RDF MEDIA GROUPE LCI,,THE GLOUCESTER BUILDING VILLAGE,Road,Avonmore,32,45
37,RECHERCHE ET DVELOPPEMENT FRANCE TLCOM,01 45 29 44 44,38 - 40 Rue Du Général Leclerc - 92794 ISSY LES MOULINEAUX CEDEX 9,,,32,46
38,PROSODIE,01 46 84 11 11,"150, Rue Gallieni",BOULOGNE,92100,32,47
39,GFK CUSTOM RESEARCH FRANCE,01 41 39 19 90,"10,rue Lionel Terray",RUEIL,92508,11,49
40,CREDOC,01 40 77 85 00,"142, Rue Du Chevaleret 75013 PARIS",,,32,50
41,LEYHAUSEN,01 55 80 40 00,"11, Rue Mogador",PARIS,75009,32,51
42,INSIGHT EUROPE GMBH,Fon: +49 (0)69 956 366 24,Grosse Friedberger Str. 33-35,Frankfurt,60313,32,52
43,FRANCE INTERVIEW,02 99 79 74 21,43 RUE DE COTQUEN,RENNES,35000,32,53
44,NICO RICERCHE DI MARKETING,+(39) 0233606578,Nico Di Cristina Nava - Piazza Sei Febbraio 26 -20145 Milano,,,32,54
45,SOLIANCE,03 26 05 42 82,Route De Bazancourt,POMACLE,51110,32,55
46,UNIVERSITé DE BOURGOGNE - LABORATOIRE THEMA UMR 6049 ,03 80 39 39 10,2 BD Gabriel - 21000 DIJON,,,32,56
47,L'OREAL : DOUBLE EVALUATION,01 49 18 00 16,13 Rue Dora Maar,SAINT,93450,32,57
48,ORANGE LABS,02 99 12 47 59  ,4 Rue Du Clos Courtel ,Cesson,35512,32,59
49,WR CONSEIL,06 03 33 22 22,"16, Rue Michel Le Comte",PARIS,75003,32,60
50,ADRIANT SILLIKER SAS,02 51 77 17 71,Rue Pierre Adolphe Bobierre BP 62303,,,32,67
51,FACTANOVA,,nan,,,32,65
52,DANONE FRANCE,01 49 48 58 05,150 Bd Victor Hugo,St,93589,32,66
53,TNS SOFRES,01 40 92 66 66,"138, Avenue Marx Dormoy",MONTROUGE,92129,31,64
54,INTER°VIEW,01 42 78 25 72,"39, Rue Réaumur",Paris,75003,32,69
55,INX,01 42 81 36 38,6 Avenue Du Coq,Paris,75009,32,70
56,AALTA RESEARCH,01 42 77 15 19,"23, Rue Bichat ",PARIS,75010,32,71
57,CANDEREL/ GROUPE MERISANT ,01 41 45 45 00,TOUR FRANKLIN ,DEFENSE,LA,32,72
58,REITZEL,,59,,,32,73
59,L'OREAL  :  CHEVEUX DU MONDE,0149180236,13 Rue Dora Maar ,ST,93400,32,74
60,COHESIUM,0156566079,71-73 Rue De Saussure,Paris,75017,32,75
61,CIVISME ET DEMOCRATIE,01 43 14 39 40,16 BD JULES FERRY,PARIS,75011,32,76
62,MIX FACTORY,0490522519,"4, Rue De L'abreuvoir",415,92,32,78
63,HARRIS INTERACTIVE,+33 (0) 1 44 87 60 30,"5-7, Rue Du Sahel - 75012 Paris   France",,,32,79
64,B&B CONSULTANTS,,nan,,,32,80
65,BERTIN TECHNOLOGIES,01 39 30 60 00,Parc D Activité Du Pas Du Lac,"Bis,",10,32,81
66,GN RESEARCH,0145307200,"3 Rue Henri Rol Tanguy, 93100 Montreuil, France",,,32,86
67,L'OREAL  : COSMETOMETRIE,,13 Rue Dora Maar 93400 ST OUEN,,,32,87
68,EUGENE PERMA,01 40 23 23 64,6 Rue D'Athènes,PARIS,75009,32,84
69,LABORATOIRE BIO - EC,0163414221,1 Chemin De Saulxier,165,91,32,85
70,TENDANCES COMPORTEMENTS,0143809889,"6, Square De L'Aveyron",PARIS,75017,32,88
71,C.E.R.I.E.S,01 58 37 47 70,20 Rue Victor Noir,NEUILLY-SUR-SEINE,92521,32,89
72,AGENCE COMMUNICAS,0147907015,"10 Bis, Rue Lucien Voilin 92800 PUTEAUX",,,32,90
73,CITé DES SCIENCES ET DE L'INDUSTRIE,0140057301,30 Avenue Corentin Carion,Paris,75930,32,91
74,LCJ CONSEIL,01 48 75 73 37,7 Rue Notre Dame,FONTENAY,94120,32,92
75,EMRA,01 64 22 80 05,17 Rue Grande ,FONTAINEBLEAU,77300,32,124
76,STRATEGYONE,01 56 69 75 72,54 Rue De Monceau,Paris,75008,32,94
77,INC - SERVICE TECHNIQUE,01 45 66 20 12,80 Rue Lecourbe - F 75732 Paris Cedex 15 ,,,32,95
78,MDIAMTRIE,    01 47 58 97 58,55 63 R Anatole France 92532 LEVALLOIS PERRET,,,32,96
79,SOLUCOM,01 49 03 21 31,Tour Franklin,Terasse,100-101,32,97
80,LABORATOIRE L'OREAL LUXE,01.49.64.71.97,106 Rue Danton ,691,92,32,98
81,JWT,0141058000,155 Rue Anatole France 92593 LEVALLOIS PERRET,,,32,99
82,ADWISE RESEARCH,0142656005 / fax 0142656004,35 Rue Godot De Mauroy 75009 Paris,,,32,100
83,SENZO,01 48 01 01 92,32 Rue Du Fbg Poissonnière,Paris,75010,32,101
84,LABORATOIRE NUXE,0153538222,19 Rue Péclet,Paris,75015,32,102
85,SEDERMA,01 34 84 10 10 ,"29, Rue Du Chemin Vert, BP33",Le,78612,32,103
86,SMART SIDE,01 53 43 89 19,78 Avenue Des Ternes,Paris,75017,32,104
87,RAPOPORT CONSEIL,0142330614 fax:0172335598,25 Rue Jean-Jacques Rousseau 75001 Paris,,,32,105
88,CHANEL PARFUMS BEAUTE,01 58 37 47 16,20 Rue Victor Noir 92521 NEUILLY-SUR-SEINE SUR SEINE - Metro : Pont De Neuilly-sur-Seine (ligne 1)---------------,D'Analyse,Laboratoire,32,106
89,METRO RESEARCH,00 44 870 2412401,Unit 118,Chandlery,The,32,107
90,POSTERSCOPE,01 41 16 17 18,47 Rue Louis Blanc,,,32,108
91,CREATIVE LEAP,44 0 207490700,Northburgh House,Northburgh,10,32,109
92,INTERTEK - 4 FRONT ,01 53 68 79 05 ,48 Rue De La Colonie 75013 Paris,,,32,110
93,MELITTA FRANCE,01 48 00 73 30,60 Rue D'Hauteville,Paris,75010,32,111
94,ISOBAR / ECCLA,0141166767,4 Place De Saverne - Courbevoie,Paris,92971,32,112
95,RESOLVADIS,0156 33 43 11,nan,,,32,113
96,IDATE,04 67 14 44 27,BP 416734092,CEDEX,MONTPELLIER,32,114
97,EDO,0146998582,"109 Avenue Victor Hugo - 6, Villa Jeanne",Boulogne,92100,32,115
98,GINGER, 01 53 63 25 83,11 Rue Saint Romain 75006 PARIS,,,32,116
99,IPSOS MEDIA CT,,KINGS HOUSE,ROAD,KIMBERLEY,61,117
100,BRAINVALUE,01 42  71 13 70,94 Rue Saint Lazare,-,75009,58,118
101,STREAM LINE,01 58 30 95 00,26 Rue Edouard Lockroy,Paris,75011,32,119
102,SOMMER RESEARCH GMBH ,+49-621-15067-0 ,Augustaanlage 27 ,Mannheim,68165,32,120
103,ADDED VALUE,,9 Rue Saint Florentin ,Paris,75008,32,121
104,LOUVRE FOCUS GROUP,0144860650,43 Rue De Richelieu 75001 PARIS,,,32,122
105,ENOV RESEARCH,04 37 43 33 09,256 Rue Francis De Pressensé,Villeurbanne,69100,32,123
106,DIXID,02 96 48 44 28,1 Rue Ampère,Lannion,22300,32,125
107,CREATIVE WORKS,06 09 16 67 64,"32 Rue De Chazelles, 75017 Paris",,,32,126
108,TNS/RI,0155256421,13 avenue de la Porte d'Italie,Paris,75013,32,27
109,YOL & CO,06 26 84 11 43,59 Boulevard Magenta  ,010,75,32,128
110,BRAND & NUANCE,0620616530,14 Rue  Oberkampf ,Paris,75011,32,129
111,CHANEL PARFUM BEAUT,,20 Rue Victor Noir 92521 NEUILLY-SUR-SEINE SUR SEINE - Metro : Pont De Neuilly-sur-Seine (ligne 1),,,32,130
112,L'OEIL DU MARKETING,09 54 70 22 58,120 Avenue Du Général Leclerc,Paris,75014,32,131
113,JUNE MARKETING,01 41 06 57 00,"60-62, Rue DAlsace, 92210 CLICHY ",,,24,132
114,THE TREEHOUSE OLYMPIA MEWS,004420724302229,QUEENSWAY,W2,LONDON,32,133
115,LH2,01 55 33 20 48,46 Rue De L'Echiquier,Paris,75010,21,134
116,ARCADIS,04 72 84 16 67,"17, Rue Louis Guérin 69626 Villeurbanne Cedex France ",,,32,135
117,COURS LEGENDRE/PROFADOM,01 70 39 73 12,COMMUNICATION & MARKETING ,Rue,25,32,136
118,KADOR,06 80 65 28 69,35 Rue Chanzy,Paris,75011,32,137
119,QUALITATIVE MARKET RESEARCH,+33 (0)6 88 14 55 96,70 Rue De Metz,Nancy,54000,32,138
120,WELLA FRANCE,,43 Rue Cambon,PARIS,75001,32,139
121,UPDATE FRANCE,01 83 62 13 64,106 Avenue Marguerite Renaudin,Clamart,92140,32,140
122,BOITE CREATIVE,01 72 42 24 66,"124 Rue De Villiers, 92300 LEVALLOIS PERRET",,,32,141
123,NUXE,01 53 53 82 22,Laboratoire NUXE,Rue,19,32,142
124,UNDERSTAND,0149290583,11-13 Rue Des Filles Du Calvaire 75003 PARIS,,,32,143
